player,team,pos,pos_rank,tier,pts_proj,vor,score,ppg_proj,adp_overall
Mike Gesicki,,TE,27,8,123.7273125,-48.49968750000001,-52.49968750000001,7.498625,
Michael Carter,,RB,38,8,157.23399999999998,-48.912875000000014,-52.912875000000014,9.529333333333332,
Jaylen Waddle,,WR,46,8,182.70999999999998,-50.512647058823546,-54.512647058823546,11.073333333333332,
Chris Olave,,WR,47,8,182.2940625,-50.92858455882353,-54.92858455882353,11.048124999999999,
Marvin Harrison Jr.,,WR,48,8,182.13816176470587,-51.084485294117655,-55.084485294117655,11.038676470588234,
Alexander Mattison,,RB,39,8,154.56375,-51.583124999999995,-55.583124999999995,9.3675,
Kirk Cousins,,QB,27,7,238.11562499999997,-51.874900000000025,-55.874900000000025,14.431249999999999,
Tyjae Spears,,RB,40,8,154.12294117647056,-52.02393382352943,-56.02393382352943,9.34078431372549,
Isiah Pacheco,,RB,41,8,152.20149999999998,-53.94537500000001,-57.94537500000001,9.224333333333332,
Caleb Williams,,QB,28,7,235.93612058823527,-54.05440441176472,-58.05440441176472,14.29915882352941,
Khalil Shakir,,WR,49,8,179.03416666666666,-54.18848039215686,-58.18848039215686,10.850555555555555,
Jaylen Warren,,RB,42,8,150.32187499999998,-55.82500000000002,-59.82500000000002,9.110416666666666,
Chig Okonkwo,,TE,28,8,115.02441176470587,-57.20258823529413,-61.20258823529413,6.971176470588235,
Brandon Aiyuk,,WR,50,8,175.6728947368421,-57.54975232198143,-61.54975232198143,10.646842105263158,
Nick Chubb,,RB,43,8,148.56187500000001,-57.58499999999998,-61.58499999999998,9.00375,
Raheem Mostert,,RB,44,8,147.04911057692308,-59.09776442307691,-63.09776442307691,8.912067307692308,
Noah Fant,,TE,29,8,110.022,-62.205,-66.205,6.668,
Tanner McKee,,QB,29,8,227.065575,-62.924949999999995,-66.92495,13.76155,
Devin Culp,,TE,30,8,108.72674999999998,-63.50025000000002,-67.50025000000002,6.589499999999999,
Amari Cooper,,WR,51,8,169.1559375,-64.06670955882353,-68.06670955882353,10.251875,
Wan'Dale Robinson,,WR,52,8,168.08452941176472,-65.1381176470588,-69.1381176470588,10.186941176470588,
Romeo Doubs,,WR,53,8,167.40552631578947,-65.81712074303405,-69.81712074303405,10.14578947368421,
Darnell Mooney,,WR,54,8,167.3630357142857,-65.85961134453783,-69.85961134453783,10.143214285714285,
Christian Kirk,,WR,55,8,164.344125,-68.87852205882353,-72.87852205882353,9.96025,
DeAndre Hopkins,,WR,56,8,162.91732198142415,-70.30532507739937,-74.30532507739937,9.873777089783282,
Justice Hill,,RB,45,8,134.91985294117646,-71.22702205882354,-75.22702205882354,8.176960784313724,
Sam Darnold,,QB,30,8,216.68826666666666,-73.30225833333333,-77.30225833333333,13.132622222222222,
Jalen McMillan,,WR,57,8,159.2633035714286,-73.95934348739493,-77.95934348739493,9.65232142857143,
Theo Johnson,,TE,31,8,97.55324999999999,-74.67375000000001,-78.67375000000001,5.912318181818181,
Will Dissly,,TE,32,8,97.38411057692308,-74.84288942307693,-78.84288942307693,5.902067307692308,
Noah Gray,,TE,33,8,97.31699999999998,-74.91000000000003,-78.91000000000003,5.897999999999999,
Drake Maye,,QB,31,8,214.71411923076926,-75.27640576923073,-79.27640576923073,13.012976923076925,
Justin Fields,,QB,32,8,212.74246153846153,-77.24806346153846,-81.24806346153846,12.893482517482516,
Kristian Wilkerson,,WR,58,8,154.4235,-78.79914705882354,-82.79914705882354,9.359,
Rashod Bateman,,WR,59,8,153.99352941176468,-79.22911764705884,-83.22911764705884,9.332941176470587,
Quentin Johnston,,WR,60,8,153.48215073529414,-79.74049632352938,-83.74049632352938,9.301948529411765,
Foster Moreau,,TE,34,8,92.19930288461538,-80.02769711538463,-84.02769711538463,5.587836538461538,
Bryce Young,,QB,33,8,209.27156250000002,-80.71896249999998,-84.71896249999998,12.683125,
Devin Singletary,,RB,46,8,125.27321052631578,-80.87366447368422,-84.87366447368422,7.592315789473684,
Jordan Mason,,RB,47,8,124.51656249999999,-81.6303125,-85.6303125,7.546458333333333,
Austin Hooper,,TE,35,8,88.7578676470588,-83.4691323529412,-87.4691323529412,5.379264705882352,
Diontae Johnson,,WR,61,8,147.09946428571428,-86.12318277310925,-90.12318277310925,8.915119047619047,
Daniel Jones,,QB,34,8,203.26350000000002,-86.72702499999997,-90.72702499999997,12.319,
Brenton Strange,,TE,36,8,85.41107142857142,-86.81592857142859,-90.81592857142859,5.176428571428571,
Tommy Tremble,,TE,37,8,85.074,-87.153,-91.153,5.156,
DeMario Douglas,,WR,62,8,144.52379464285713,-88.6988524159664,-92.6988524159664,8.759017857142856,
Nick Westbrook-Ikhine,,WR,63,8,144.3178846153846,-88.90476244343893,-92.90476244343893,8.74653846153846,
Alec Pierce,,WR,64,8,144.28886029411763,-88.9337867647059,-92.9337867647059,8.744779411764705,
Tanner Hudson,,TE,38,8,82.49083333333333,-89.73616666666668,-93.73616666666668,4.999444444444444,
AJ Barner,,TE,39,8,82.46425,-89.76275,-93.76275,4.997833333333333,
Allen Lazard,,WR,65,8,142.52464285714285,-90.69800420168067,-94.69800420168067,8.637857142857143,
Gus Edwards,,RB,48,8,115.00717105263156,-91.13970394736843,-95.13970394736843,6.970131578947368,
Deshaun Watson,,QB,35,8,198.19799999999998,-91.79252500000001,-95.79252500000001,12.011999999999999,
Tyler Lockett,,WR,66,8,141.14294117647057,-92.07970588235295,-96.07970588235295,8.554117647058822,
Josh Oliver,,TE,40,8,80.08846153846152,-92.13853846153849,-96.13853846153849,4.853846153846153,
Tyler Allgeier,,RB,49,8,112.21941176470588,-93.92746323529411,-97.92746323529411,6.801176470588235,
